iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,56,0.7843138006575533,0.7413466665237444,0.2325853881049776,1.0,0.12573|-0.132105|0.640423|0.1049|-0.535669
2,116,0.7843138006575533,0.7413466665237444,0.2325853881049776,0.995,0.12573|-0.132105|0.640423|0.1049|-0.535669
3,172,0.48640174311586515,0.6389331962575101,0.22084860089760538,0.990025,-0.450109|-0.0239152|0.565476|0.304998|0.151578
4,202,0.48640174311586515,0.6389331962575101,0.22084860089760538,0.985074875,-0.450109|-0.0239152|0.565476|0.304998|0.151578
