iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,60,5.711209159316231,5.928060658657681,0.4274958908822435,1.0,1.03052|-0.334713|-0.0824925|-2.03096|0.78895
2,120,3.432248937399974,3.168449127733724,0.3701287129151139,0.995,0.89706|-1.23579|0.106603|-0.907382|-0.0429549
3,180,1.9315867403562514,1.9913405430430662,0.3235523489526821,0.990025,0.457037|0.818696|0.0583655|-0.410264|-0.969779
4,204,1.9315867403562514,1.9913405430430662,0.3235523489526821,0.985074875,0.457037|0.818696|0.0583655|-0.410264|-0.969779
