iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,60,3.5188923694093712,3.421561484454161,0.3776875848032937,1.0,0.345584|0.821618|0.330437|-1.30316|0.905356
2,120,3.5188923694093712,3.421561484454161,0.3776875848032937,0.995,0.345584|0.821618|0.330437|-1.30316|0.905356
3,180,1.9960490086337925,2.030445793587622,0.3255001109137233,0.990025,-0.0710748|0.595362|0.751345|-1.02356|-0.242377
4,204,1.5417875918182664,1.6457291873890592,0.30464256126923406,0.985074875,0.815066|0.362231|0.131383|-0.795503|0.447325
