iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,10,6.149559911472152,7.230482007290736,0.442734604404106,1.0,0.0898553|0.0225403|-1.02025|-2.31464|0.907433
2,20,2.669710960910655,2.888869892865053,0.36094218292870023,0.995,-0.0436025|-0.878538|-0.831154|-1.19106|0.0755286
3,30,2.669710960910655,2.888869892865053,0.36094218292870023,0.990025,-0.0436025|-0.878538|-0.831154|-1.19106|0.0755286
4,40,0.8492807756106656,0.8182983745543754,0.24070421318037455,0.985074875,-0.355945|-0.618226|-0.0946571|-0.548019|-0.0106472
5,50,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9801495006250001,-0.231437|-0.552438|-0.325878|0.175234|0.359189
6,60,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9752487531218751,-0.231437|-0.552438|-0.325878|0.175234|0.359189
7,70,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9703725093562657,-0.231437|-0.552438|-0.325878|0.175234|0.359189
8,80,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9655206468094844,-0.231437|-0.552438|-0.325878|0.175234|0.359189
9,90,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.960693043575437,-0.231437|-0.552438|-0.325878|0.175234|0.359189
10,100,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9558895783575597,-0.231437|-0.552438|-0.325878|0.175234|0.359189
11,110,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.9511101304657719,-0.231437|-0.552438|-0.325878|0.175234|0.359189
12,120,0.45716308225061364,0.6246709358130424,0.21911800713441776,0.946354579813443,-0.231437|-0.552438|-0.325878|0.175234|0.359189
13,130,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9416228069143757,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
14,140,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9369146928798039,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
15,150,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9322301194154049,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
16,160,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9275689688183278,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
17,170,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9229311239742362,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
18,180,0.4347206251401775,0.4528272372803948,0.195941902903996,0.918316468354365,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
19,190,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9137248860125932,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
20,200,0.4347206251401775,0.4528272372803948,0.195941902903996,0.9091562615825302,-0.256758|-0.259391|0.266161|-0.489611|-0.0951754
