iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,10,3.5520843433013076,3.421561484454161,0.3776875848032937,1.0,0.345584|0.821618|0.330437|-1.30316|0.905356
2,20,3.5520843433013076,3.421561484454161,0.3776875848032937,0.995,0.345584|0.821618|0.330437|-1.30316|0.905356
3,30,2.101184106239451,2.030445793587622,0.3255001109137233,0.990025,-0.0710748|0.595362|0.751345|-1.02356|-0.242377
4,40,1.530694630869803,1.6457291873890592,0.30464256126923406,0.985074875,0.815066|0.362231|0.131383|-0.795503|0.447325
5,50,1.346019094381788,1.6331180271278953,0.30388826622596626,0.9801495006250001,-0.332241|-0.0670625|-0.0714028|-1.1226|0.50289
6,60,1.346019094381788,1.6331180271278953,0.30388826622596626,0.9752487531218751,-0.332241|-0.0670625|-0.0714028|-1.1226|0.50289
7,70,1.346019094381788,1.6331180271278953,0.30388826622596626,0.9703725093562657,-0.332241|-0.0670625|-0.0714028|-1.1226|0.50289
8,80,1.2538259378347132,1.7109124226166894,0.3084632528075193,0.9655206468094844,-0.510746|-0.160433|1.02843|-0.562976|-0.222944
9,90,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.960693043575437,0.500232|0.670711|0.336669|0.305003|-0.106433
10,100,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9558895783575597,0.500232|0.670711|0.336669|0.305003|-0.106433
11,110,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9511101304657719,0.500232|0.670711|0.336669|0.305003|-0.106433
12,120,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.946354579813443,0.500232|0.670711|0.336669|0.305003|-0.106433
13,130,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9416228069143757,0.500232|0.670711|0.336669|0.305003|-0.106433
14,140,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9369146928798039,0.500232|0.670711|0.336669|0.305003|-0.106433
15,150,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9322301194154049,0.500232|0.670711|0.336669|0.305003|-0.106433
16,160,0.6184562975079244,0.9177862918884854,0.25045117219878854,0.9275689688183278,0.500232|0.670711|0.336669|0.305003|-0.106433
17,170,0.436051678154712,0.3928555410219668,0.18658346765588313,0.9229311239742362,0.315073|-0.192982|0.272447|-0.311784|-0.291386
18,180,0.436051678154712,0.3928555410219668,0.18658346765588313,0.918316468354365,0.315073|-0.192982|0.272447|-0.311784|-0.291386
19,190,0.436051678154712,0.3928555410219668,0.18658346765588313,0.9137248860125932,0.315073|-0.192982|0.272447|-0.311784|-0.291386
20,200,0.436051678154712,0.3928555410219668,0.18658346765588313,0.9091562615825302,0.315073|-0.192982|0.272447|-0.311784|-0.291386
