iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,10,0.7705896787932759,0.7413466665237444,0.2325853881049776,1.0,0.12573|-0.132105|0.640423|0.1049|-0.535669
2,20,0.7705896787932759,0.7413466665237444,0.2325853881049776,0.995,0.12573|-0.132105|0.640423|0.1049|-0.535669
3,30,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.990025,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
4,40,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.985074875,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
5,50,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9801495006250001,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
6,60,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9752487531218751,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
7,70,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9703725093562657,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
8,80,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9655206468094844,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
9,90,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.960693043575437,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
10,100,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9558895783575597,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
11,110,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9511101304657719,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
12,120,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.946354579813443,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
13,130,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9416228069143757,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
14,140,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9369146928798039,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
15,150,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9322301194154049,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
16,160,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9275689688183278,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
17,170,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9229311239742362,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
18,180,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.918316468354365,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
19,190,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9137248860125932,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
20,200,0.3195148601840176,0.5281884195684743,0.2066856191645151,0.9091562615825302,-0.160156|-0.0494622|-0.200708|-0.400629|-0.547087
