iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,60,7.054519860465213,7.2079884956442815,0.44250974257072123,1.0,1.98817|-1.15007|1.16551|-0.373954|0.658984
2,120,3.4318723023081117,3.3635723371596713,0.37601427247081043,0.995,0.357509|-1.08902|0.206228|0.379481|-1.36501
3,180,3.4318723023081117,3.3635723371596713,0.37601427247081043,0.990025,0.357509|-1.08902|0.206228|0.379481|-1.36501
4,204,3.4318723023081117,3.3635723371596713,0.37601427247081043,0.985074875,0.357509|-1.08902|0.206228|0.379481|-1.36501
