iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,60,4.406381224449983,4.205212349473171,0.3974129930193826,1.0,-0.940516|0.28386|0.71065|0.290521|-1.62808
2,120,4.406381224449983,4.205212349473171,0.3974129930193826,0.995,-0.940516|0.28386|0.71065|0.290521|-1.62808
3,180,2.5154887440389886,2.3509895744252396,0.34023893991582227,0.990025,-0.858509|-0.568637|0.431136|0.244421|-1.02224
4,204,2.5154887440389886,2.3509895744252396,0.34023893991582227,0.985074875,-0.858509|-0.568637|0.431136|0.244421|-1.02224
