iter,evals,noisy_best,true_best,sigma_best,step,x_best
1,10,4.298755784888275,4.205212349473171,0.3974129930193826,1.0,-0.940516|0.28386|0.71065|0.290521|-1.62808
2,20,4.298755784888275,4.205212349473171,0.3974129930193826,0.995,-0.940516|0.28386|0.71065|0.290521|-1.62808
3,30,1.6303430709941302,2.3509895744252396,0.34023893991582227,0.990025,-0.858509|-0.568637|0.431136|0.244421|-1.02224
4,40,1.1279726181334535,1.4119186179927605,0.2897838205825452,0.985074875,0.675635|0.453595|0.310376|-0.122418|-0.798979
5,50,0.7739764686819259,0.9204457202092362,0.2507012451728201,0.9801495006250001,-0.0637647|0.462659|0.211049|-0.165224|-0.794031
6,60,0.7739764686819259,0.9204457202092362,0.2507012451728201,0.9752487531218751,-0.0637647|0.462659|0.211049|-0.165224|-0.794031
7,70,0.7739764686819259,0.9204457202092362,0.2507012451728201,0.9703725093562657,-0.0637647|0.462659|0.211049|-0.165224|-0.794031
8,80,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.9655206468094844,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
9,90,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.960693043575437,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
10,100,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.9558895783575597,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
11,110,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.9511101304657719,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
12,120,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.946354579813443,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
13,130,0.6976685083985688,0.9043611981830044,0.24918083147689918,0.9416228069143757,-0.268988|0.379148|-0.492828|0.0928974|-0.660866
14,140,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9369146928798039,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
15,150,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9322301194154049,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
16,160,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9275689688183278,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
17,170,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9229311239742362,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
18,180,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.918316468354365,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
19,190,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9137248860125932,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
20,200,0.4737918029128817,1.1984263566433047,0.27434365542753464,0.9091562615825302,-0.132058|-0.102413|0.0448951|-0.0951696|-1.07677
